04-25-2023 	 01:16:56 	 d2a8b54d-8be6-434d-bd56-87df28c94481 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:16:57 	 bcce6e2f-3561-4391-8094-85a244ba0a26 	 GET 	 undefined 	 / 
04-25-2023 	 01:16:57 	 5cc63615-b4f4-44d6-aa0e-b5e05f442045 	 GET 	 undefined 	 /public/css/style.css 
04-25-2023 	 01:16:57 	 beb27f2e-79b5-4b74-9d72-de8500685034 	 GET 	 undefined 	 /favicon.ico 
04-25-2023 	 01:17:38 	 66fdbda6-3c60-41ec-b23b-cbc08169afbe 	 GET 	 undefined 	 / 
04-25-2023 	 01:17:38 	 4e5b876d-7f78-447b-ac47-8958c831740d 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:17:42 	 593a95d7-58c8-41fd-b6f9-37060a354ee7 	 GET 	 undefined 	 /index.html 
04-25-2023 	 01:17:42 	 7d9cf38a-e7d0-4307-94f0-793208054552 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:17:50 	 9d2cd7a4-18eb-4d4d-9143-990ebccab634 	 GET 	 undefined 	 /views/index.html 
04-25-2023 	 01:17:51 	 d59d428a-b450-4e20-9480-81f11da1d2f1 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:18:11 	 a3bcb3e0-db60-427b-b8ab-a1ca6c5d08dc 	 GET 	 undefined 	 /views/index.html 
04-25-2023 	 01:18:15 	 314d0bbb-dacd-4a7a-a5e2-369811171e44 	 GET 	 undefined 	 / 
04-25-2023 	 01:18:26 	 b1002812-d4bb-4beb-bfb3-54753b84ebe5 	 GET 	 undefined 	 / 
04-25-2023 	 01:18:26 	 58250d7a-f9fe-4e93-9158-19d9d1c2a648 	 GET 	 undefined 	 /css/style.css 
04-25-2023 	 01:18:26 	 c66ae169-0092-4523-9255-bb00723fcc3a 	 GET 	 undefined 	 / 
04-25-2023 	 01:18:26 	 dea0dea6-18fc-4936-8c0f-b5853268142c 	 GET 	 undefined 	 /css/style.css 
